"","driver","race","pit_in_elapsed_time","pit_in_lap_count","pit_in_leader_lap","pit_out_elapsed_time","pit_stop_type","pit_stop_duration","laps_remaining"
"728","Todd Gilliland","Wise Power 400",2923.251,53,53,2969.556,"FOUR_WHEEL_CHANGE",15.6488,147
"729","Todd Gilliland","Wise Power 400",3881.946,67,67,3926.411,"FOUR_WHEEL_CHANGE",14.2473,133
"730","Todd Gilliland","Wise Power 400",4116.795,69,70,4176.353,"FOUR_WHEEL_CHANGE",27.233,131
"731","Todd Gilliland","Wise Power 400",5328.647,91,91,5372.504,"FOUR_WHEEL_CHANGE",13.6817,109
"732","Todd Gilliland","Wise Power 400",6518.465,111,111,6562.664,"FOUR_WHEEL_CHANGE",14.0145,89
"733","Todd Gilliland","Wise Power 400",8065.367,132,132,8108.442,"FOUR_WHEEL_CHANGE",12.9961,68
"734","Todd Gilliland","Wise Power 400",9186.907,152,152,9230.426,"FOUR_WHEEL_CHANGE",13.5123,48
"735","Todd Gilliland","Wise Power 400",9978.496,160,160,10022.653,"FOUR_WHEEL_CHANGE",13.8924,40
"736","Todd Gilliland","Wise Power 400",11063.576,174,174,11111.24,"FOUR_WHEEL_CHANGE",17.485,26
"737","Todd Gilliland","Wise Power 400",12096.199,192,192,12144.366,"FOUR_WHEEL_CHANGE",18.1799,8
"741","Garrett Smithley","Wise Power 400",860.141,16,16,910.725,"FOUR_WHEEL_CHANGE",19.2168,184
"742","Garrett Smithley","Wise Power 400",2123.15,38,39,2169.959,"FOUR_WHEEL_CHANGE",15.613,162
"743","Garrett Smithley","Wise Power 400",3988.85,68,68,4035.786,"FOUR_WHEEL_CHANGE",16.3495,132
"744","Garrett Smithley","Wise Power 400",5433.266,92,92,5483.662,"FOUR_WHEEL_CHANGE",20.0928,108
"745","Garrett Smithley","Wise Power 400",6622.26,112,112,6669.836,"FOUR_WHEEL_CHANGE",16.5501,88
"746","Garrett Smithley","Wise Power 400",8171.908,133,133,8221.41,"FOUR_WHEEL_CHANGE",19.2702,67
"747","Garrett Smithley","Wise Power 400",9291.894,153,153,9338.783,"FOUR_WHEEL_CHANGE",16.5434,47
"748","Garrett Smithley","Wise Power 400",11169.78,175,175,11216.191,"FOUR_WHEEL_CHANGE",15.5628,25
"749","Garrett Smithley","Wise Power 400",12203.495,193,193,12251.403,"FOUR_WHEEL_CHANGE",17.5842,7
"753","BJ McLeod","Wise Power 400",859.559,16,16,918,"FOUR_WHEEL_CHANGE",26.9911,184
"754","BJ McLeod","Wise Power 400",2150.34,39,40,2204.456,"FOUR_WHEEL_CHANGE",22.5888,161
"755","BJ McLeod","Wise Power 400",3026.349,54,54,3073.63,"FOUR_WHEEL_CHANGE",16.0101,146
"756","BJ McLeod","Wise Power 400",3990.005,68,68,4035.318,"FOUR_WHEEL_CHANGE",13.6468,132
"757","BJ McLeod","Wise Power 400",5432.319,92,92,5480.954,"FOUR_WHEEL_CHANGE",17.1838,108
"758","BJ McLeod","Wise Power 400",6622.917,112,112,6667.511,"FOUR_WHEEL_CHANGE",13.5681,88
"759","BJ McLeod","Wise Power 400",8172.286,133,133,8218.678,"FOUR_WHEEL_CHANGE",16.5448,67
"760","BJ McLeod","Wise Power 400",9293.497,153,153,9338.414,"FOUR_WHEEL_CHANGE",13.878,47
"761","BJ McLeod","Wise Power 400",10101.168,161,161,10169.71,"FOUR_WHEEL_CHANGE",35.1959,39
"762","BJ McLeod","Wise Power 400",11171.269,175,175,11220.144,"FOUR_WHEEL_CHANGE",16.9166,25
"763","BJ McLeod","Wise Power 400",12205.915,193,193,12255.322,"FOUR_WHEEL_CHANGE",16.8283,7
"767","Justin Haley","Wise Power 400",749.27,15,15,796.082,"FOUR_WHEEL_CHANGE",16.3062,185
"768","Justin Haley","Wise Power 400",2016.407,38,38,2071.178,"FOUR_WHEEL_CHANGE",24.2128,162
"769","Justin Haley","Wise Power 400",2921.042,53,53,2965.464,"FOUR_WHEEL_CHANGE",14.9349,147
"770","Justin Haley","Wise Power 400",3877.918,67,67,3920.727,"FOUR_WHEEL_CHANGE",13.6648,133
"771","Justin Haley","Wise Power 400",5323.626,91,91,5366.616,"FOUR_WHEEL_CHANGE",13.8428,109
"772","Justin Haley","Wise Power 400",6516.698,111,111,6562.337,"FOUR_WHEEL_CHANGE",15.3818,89
"773","Justin Haley","Wise Power 400",8064.406,132,132,8111.205,"FOUR_WHEEL_CHANGE",16.8022,68
"774","Justin Haley","Wise Power 400",9184.599,152,152,9229.671,"FOUR_WHEEL_CHANGE",15.2466,48
"775","Justin Haley","Wise Power 400",11061.673,174,174,11104.996,"FOUR_WHEEL_CHANGE",14.1768,26
"776","Justin Haley","Wise Power 400",12094.896,192,192,12139.855,"FOUR_WHEEL_CHANGE",14.992,8
"780","Tyler Reddick","Wise Power 400",740.423,15,15,781.724,"FOUR_WHEEL_CHANGE",11.6434,185
"781","Tyler Reddick","Wise Power 400",2009.302,38,38,2050.145,"FOUR_WHEEL_CHANGE",12.3525,162
"782","Tyler Reddick","Wise Power 400",2914.124,53,53,2955.529,"FOUR_WHEEL_CHANGE",12.3457,147
"783","Tyler Reddick","Wise Power 400",3874.203,67,67,3915.594,"FOUR_WHEEL_CHANGE",12.8699,133
"784","Tyler Reddick","Wise Power 400",5317.954,91,91,5358.673,"FOUR_WHEEL_CHANGE",11.1126,109
"785","Tyler Reddick","Wise Power 400",6511.334,111,111,6552.13,"FOUR_WHEEL_CHANGE",12.2058,89
"786","Tyler Reddick","Wise Power 400",8058.386,132,132,8098.68,"FOUR_WHEEL_CHANGE",11.0775,68
"787","Tyler Reddick","Wise Power 400",9117.989,151,152,9183.486,"TWO_WHEEL_CHANGE_LEFT",33.3397,49
"788","Tyler Reddick","Wise Power 400",9302.152,153,153,9379.955,"TWO_WHEEL_CHANGE_RIGHT",46.619,47
"789","Tyler Reddick","Wise Power 400",9439.166,154,155,9620.39,"OTHER",150.1444,46
"790","Tyler Reddick","Wise Power 400",11168.506,173,175,11238.855,"FOUR_WHEEL_CHANGE",41.1459,27
"794","Alex Bowman","Wise Power 400",745.02,15,15,787.902,"FOUR_WHEEL_CHANGE",13.1702,185
"795","Alex Bowman","Wise Power 400",2012.409,38,38,2054.083,"FOUR_WHEEL_CHANGE",11.8296,162
"796","Alex Bowman","Wise Power 400",2916.901,53,53,2958.571,"FOUR_WHEEL_CHANGE",12.0766,147
"797","Alex Bowman","Wise Power 400",3875.569,67,67,3917.234,"FOUR_WHEEL_CHANGE",12.0021,133
"798","Alex Bowman","Wise Power 400",5319.911,91,91,5361.859,"FOUR_WHEEL_CHANGE",12.3504,109
"799","Alex Bowman","Wise Power 400",6513.327,111,111,6556.483,"FOUR_WHEEL_CHANGE",13.5769,89
"800","Alex Bowman","Wise Power 400",8061.013,132,132,8101.248,"FOUR_WHEEL_CHANGE",10.7275,68
"801","Alex Bowman","Wise Power 400",9180.788,152,152,9221.574,"FOUR_WHEEL_CHANGE",10.9726,48
"802","Alex Bowman","Wise Power 400",11058.475,174,174,11099.343,"FOUR_WHEEL_CHANGE",11.3978,26
"803","Alex Bowman","Wise Power 400",11449.712,178,179,11541.687,"FOUR_WHEEL_CHANGE",61.0552,22
"807","Chase Elliott","Wise Power 400",741.297,15,15,783.472,"FOUR_WHEEL_CHANGE",12.7217,185
"808","Chase Elliott","Wise Power 400",2015.753,38,38,2287.05,"FOUR_WHEEL_CHANGE",240.5339,162
"809","Chase Elliott","Wise Power 400",2922.684,51,53,3021.275,"OTHER",67.398,149
"810","Chase Elliott","Wise Power 400",3147.218,53,56,3189.996,"FOUR_WHEEL_CHANGE",13.1327,147
"811","Chase Elliott","Wise Power 400",3999.387,67,68,4092.87,"FOUR_WHEEL_CHANGE",63.5293,133
"812","Chase Elliott","Wise Power 400",4223.785,69,71,4302.099,"OTHER",48.2156,131
"813","Chase Elliott","Wise Power 400",5443.451,92,92,5533,"FOUR_WHEEL_CHANGE",59.0899,108
"814","Chase Elliott","Wise Power 400",6517.2,111,111,6627.616,"FOUR_WHEEL_CHANGE",80.5595,89
"815","Chase Elliott","Wise Power 400",7069.427,117,117,7151.029,"OTHER",51.2639,83
"816","Chase Elliott","Wise Power 400",8065.043,132,132,8107.225,"FOUR_WHEEL_CHANGE",12.4781,68
"817","Chase Elliott","Wise Power 400",9182.932,152,152,9223.697,"FOUR_WHEEL_CHANGE",11.111,48
"818","Chase Elliott","Wise Power 400",11058.171,174,174,11099.253,"FOUR_WHEEL_CHANGE",11.4962,26
"819","Chase Elliott","Wise Power 400",12037.274,190,192,12211.587,"FOUR_WHEEL_CHANGE",141.1699,10
"823","Brad Keselowski","Wise Power 400",747.468,15,15,789.33,"FOUR_WHEEL_CHANGE",11.838,185
"824","Brad Keselowski","Wise Power 400",2013.9,38,38,2055.271,"FOUR_WHEEL_CHANGE",11.4074,162
"825","Brad Keselowski","Wise Power 400",2918.469,53,53,2959.538,"FOUR_WHEEL_CHANGE",11.1445,147
"826","Brad Keselowski","Wise Power 400",3877.308,67,67,3918.532,"FOUR_WHEEL_CHANGE",11.3775,133
"827","Brad Keselowski","Wise Power 400",5320.165,91,91,5364.329,"FOUR_WHEEL_CHANGE",14.4178,109
"828","Brad Keselowski","Wise Power 400",6513.025,111,111,6553.884,"FOUR_WHEEL_CHANGE",11.3527,89
"830","Brad Keselowski","Wise Power 400",7025.973,116,117,7079.215,"FOUR_WHEEL_CHANGE",21.1205,84
"831","Brad Keselowski","Wise Power 400",7184.701,118,119,7228.512,"OTHER",9.7091,82
"832","Brad Keselowski","Wise Power 400",8065.942,132,132,8108.569,"FOUR_WHEEL_CHANGE",13.135,68
"833","Brad Keselowski","Wise Power 400",9183.162,152,152,9224.5,"FOUR_WHEEL_CHANGE",11.6141,48
"834","Brad Keselowski","Wise Power 400",9871.226,157,160,10045.762,"FOUR_WHEEL_CHANGE",121.5965,43
"835","Brad Keselowski","Wise Power 400",11169.262,172,175,11214.547,"FOUR_WHEEL_CHANGE",13.4129,28
"839","Corey LaJoie","Wise Power 400",745.628,15,15,789.966,"FOUR_WHEEL_CHANGE",13.4929,185
"840","Corey LaJoie","Wise Power 400",2017.232,38,38,2076.271,"FOUR_WHEEL_CHANGE",28.1276,162
"841","Corey LaJoie","Wise Power 400",2920.255,53,53,2974.821,"FOUR_WHEEL_CHANGE",24.8562,147
"842","Corey LaJoie","Wise Power 400",3880.732,67,67,3923.476,"FOUR_WHEEL_CHANGE",12.6094,133
"843","Corey LaJoie","Wise Power 400",5326.362,91,91,5371.326,"FOUR_WHEEL_CHANGE",15.4355,109
"844","Corey LaJoie","Wise Power 400",6518.889,111,111,6566.654,"FOUR_WHEEL_CHANGE",17.9786,89
"845","Corey LaJoie","Wise Power 400",8065.689,132,132,8112.019,"FOUR_WHEEL_CHANGE",16.6822,68
"846","Corey LaJoie","Wise Power 400",8843.509,145,146,8890.473,"FOUR_WHEEL_CHANGE",16.9836,55
"847","Corey LaJoie","Wise Power 400",8938.562,146,148,9007.778,"OTHER",39.516,54
"849","Corey LaJoie","Wise Power 400",9194.931,149,153,9302.917,"OTHER",77.0601,51
"850","Corey LaJoie","Wise Power 400",9980.964,157,160,10108.753,"FOUR_WHEEL_CHANGE",96.9427,43
"851","Corey LaJoie","Wise Power 400",11168.865,172,175,11218.136,"FOUR_WHEEL_CHANGE",19.2022,28
"855","Ross Chastain","Wise Power 400",749.664,15,15,791.897,"FOUR_WHEEL_CHANGE",11.9614,185
"856","Ross Chastain","Wise Power 400",2018.921,38,38,2062.658,"FOUR_WHEEL_CHANGE",13.2217,162
"857","Ross Chastain","Wise Power 400",2920.7,53,53,2962.958,"FOUR_WHEEL_CHANGE",11.3417,147
"858","Ross Chastain","Wise Power 400",3881.539,67,67,3986.064,"FOUR_WHEEL_CHANGE",73.0982,133
"859","Ross Chastain","Wise Power 400",5323.25,91,91,5365.403,"FOUR_WHEEL_CHANGE",11.8329,109
"860","Ross Chastain","Wise Power 400",6514.641,111,111,6555.726,"FOUR_WHEEL_CHANGE",11.5779,89
"861","Ross Chastain","Wise Power 400",8061.32,132,132,8103.683,"FOUR_WHEEL_CHANGE",12.5132,68
"862","Ross Chastain","Wise Power 400",9182.694,152,152,9224.329,"FOUR_WHEEL_CHANGE",12.0119,48
"863","Ross Chastain","Wise Power 400",10944.541,171,173,11184.936,"FOUR_WHEEL_CHANGE",154.4861,29
"868","Josh Bilicki","Wise Power 400",2019.956,38,38,2068.518,"FOUR_WHEEL_CHANGE",18.3027,162
"869","Josh Bilicki","Wise Power 400",3101.557,52,55,3204.187,"FOUR_WHEEL_CHANGE",65.8694,148
"870","Josh Bilicki","Wise Power 400",3989.38,65,68,4041.168,"FOUR_WHEEL_CHANGE",21.5,135
"871","Josh Bilicki","Wise Power 400",5432.771,89,92,5485.315,"FOUR_WHEEL_CHANGE",22.1762,111
"872","Josh Bilicki","Wise Power 400",6638.026,110,113,6683.831,"FOUR_WHEEL_CHANGE",15.0716,90
"873","Josh Bilicki","Wise Power 400",8190.259,133,134,8241.383,"FOUR_WHEEL_CHANGE",20.8338,67
"874","Josh Bilicki","Wise Power 400",8296.615,134,135,8411.217,"OTHER",33.0924,66
"875","Josh Bilicki","Wise Power 400",8936.733,145,148,9015.518,"FOUR_WHEEL_CHANGE",46.6606,55
"876","Josh Bilicki","Wise Power 400",10101.809,158,161,10153.121,"FOUR_WHEEL_CHANGE",20.5573,42
"877","Josh Bilicki","Wise Power 400",11170.323,172,175,11217.003,"FOUR_WHEEL_CHANGE",15.4768,28
"881","Michael McDowell","Wise Power 400",747.183,15,15,788.994,"FOUR_WHEEL_CHANGE",11.8481,185
"882","Michael McDowell","Wise Power 400",2015.474,38,38,2059.603,"FOUR_WHEEL_CHANGE",14.1143,162
"883","Michael McDowell","Wise Power 400",2919.079,53,53,2961.096,"FOUR_WHEEL_CHANGE",12.446,147
"884","Michael McDowell","Wise Power 400",3879.638,67,67,3920.771,"FOUR_WHEEL_CHANGE",11.7783,133
"885","Michael McDowell","Wise Power 400",5322.852,91,91,5365.949,"FOUR_WHEEL_CHANGE",13.3455,109
"886","Michael McDowell","Wise Power 400",6516.058,111,111,6559.625,"FOUR_WHEEL_CHANGE",13.59,89
"887","Michael McDowell","Wise Power 400",8063.505,132,132,8104.898,"FOUR_WHEEL_CHANGE",11.5656,68
"888","Michael McDowell","Wise Power 400",9184.23,152,152,9226.229,"FOUR_WHEEL_CHANGE",11.9592,48
"889","Michael McDowell","Wise Power 400",11060.76,174,174,11105.144,"FOUR_WHEEL_CHANGE",14.4307,26
"890","Michael McDowell","Wise Power 400",12124.499,192,193,12288.274,"OTHER",124.7227,8
"894","Cody Ware","Wise Power 400",911.896,16,17,958.408,"FOUR_WHEEL_CHANGE",16.0498,184
"895","Cody Ware","Wise Power 400",1949.308,36,38,2216.227,"OTHER",235.7468,164
"897","Cody Ware","Wise Power 400",3027.215,40,54,3074.409,"FOUR_WHEEL_CHANGE",16.4162,160
"898","Cody Ware","Wise Power 400",5092.791,73,88,5140.502,"FOUR_WHEEL_CHANGE",17.5503,127
"899","Cody Ware","Wise Power 400",6624.49,98,112,6737.825,"FOUR_WHEEL_CHANGE",99.4315,102
"900","Cody Ware","Wise Power 400",8171.534,119,133,8219.306,"FOUR_WHEEL_CHANGE",17.1834,81
"901","Cody Ware","Wise Power 400",9292.939,139,153,9402.836,"FOUR_WHEEL_CHANGE",79.7102,61
"902","Cody Ware","Wise Power 400",11170.754,161,175,11207.347,"OTHER",4.3709,39
"906","Harrison Burton","Wise Power 400",746.605,15,15,789.787,"FOUR_WHEEL_CHANGE",13.0536,185
"907","Harrison Burton","Wise Power 400",2016.034,38,38,2058.447,"FOUR_WHEEL_CHANGE",12.4112,162
"908","Harrison Burton","Wise Power 400",2919.67,53,53,2961.991,"FOUR_WHEEL_CHANGE",12.1455,147
"909","Harrison Burton","Wise Power 400",3879.916,67,67,3923.424,"FOUR_WHEEL_CHANGE",13.7801,133
"910","Harrison Burton","Wise Power 400",5325.209,91,91,5367.3,"FOUR_WHEEL_CHANGE",12.4121,109
"911","Harrison Burton","Wise Power 400",6517.469,111,111,6564.129,"FOUR_WHEEL_CHANGE",17.3124,89
"912","Harrison Burton","Wise Power 400",8063.755,132,132,8105.388,"FOUR_WHEEL_CHANGE",11.8329,68
"913","Harrison Burton","Wise Power 400",9186.116,152,152,9230.781,"FOUR_WHEEL_CHANGE",14.5776,48
"916","William Byron","Wise Power 400",741.544,15,15,783.219,"FOUR_WHEEL_CHANGE",11.9784,185
"917","William Byron","Wise Power 400",2009.52,38,38,2052.981,"FOUR_WHEEL_CHANGE",13.713,162
"918","William Byron","Wise Power 400",2914.323,53,53,2956.5,"FOUR_WHEEL_CHANGE",12.5792,147
"919","William Byron","Wise Power 400",3874.752,67,67,3916.301,"FOUR_WHEEL_CHANGE",11.9784,133
"920","William Byron","Wise Power 400",5318.175,91,91,5359.493,"FOUR_WHEEL_CHANGE",11.5753,109
"921","William Byron","Wise Power 400",6510.873,111,111,6558.357,"FOUR_WHEEL_CHANGE",17.8065,89
"922","William Byron","Wise Power 400",8060.484,132,132,8102.394,"FOUR_WHEEL_CHANGE",12.6121,68
"925","Chris Buescher","Wise Power 400",745.943,15,15,788.122,"FOUR_WHEEL_CHANGE",12.6491,185
"926","Chris Buescher","Wise Power 400",2012.737,38,38,2055.242,"FOUR_WHEEL_CHANGE",13.1274,162
"927","Chris Buescher","Wise Power 400",2917.258,53,53,2959.7,"FOUR_WHEEL_CHANGE",13.0921,147
"928","Chris Buescher","Wise Power 400",3878.486,67,67,3923.039,"FOUR_WHEEL_CHANGE",15.1595,133
"929","Chris Buescher","Wise Power 400",5321.431,91,91,5363.714,"FOUR_WHEEL_CHANGE",12.9793,109
"930","Chris Buescher","Wise Power 400",6614.727,110,112,6658.383,"FOUR_WHEEL_CHANGE",26.158,90
"936","Christopher Bell","Wise Power 400",744.388,15,15,788.275,"FOUR_WHEEL_CHANGE",12.846,185
"937","Christopher Bell","Wise Power 400",2013.006,38,38,2127.6,"FOUR_WHEEL_CHANGE",84.1552,162
"938","Christopher Bell","Wise Power 400",2248.298,40,41,2336.751,"OTHER",58.2228,160
"939","Christopher Bell","Wise Power 400",2923.465,53,53,2969.726,"FOUR_WHEEL_CHANGE",16.2817,147
"940","Christopher Bell","Wise Power 400",3880.118,67,67,3922.172,"FOUR_WHEEL_CHANGE",11.9118,133
"941","Christopher Bell","Wise Power 400",5466.217,89,93,5802.334,"FOUR_WHEEL_CHANGE",213.9942,111
"942","Christopher Bell","Wise Power 400",5996.409,93,101,6016.203,"OTHER",15,107
"945","Alex Bowman","Pennzoil 400",1040.977,31,31,1081.791,"FOUR_WHEEL_CHANGE",12.112,243
"946","Alex Bowman","Pennzoil 400",2849.508,64,64,2890.328,"FOUR_WHEEL_CHANGE",11.8443,210
"947","Alex Bowman","Pennzoil 400",3761.457,82,82,3802.272,"FOUR_WHEEL_CHANGE",11.6448,192
"948","Alex Bowman","Pennzoil 400",5179.15,105,105,5220.809,"FOUR_WHEEL_CHANGE",12.846,169
"949","Alex Bowman","Pennzoil 400",6372.39,135,135,6415.945,"FOUR_WHEEL_CHANGE",15.0479,139
"950","Alex Bowman","Pennzoil 400",6579.93,137,137,6623.877,"FOUR_WHEEL_CHANGE",14.1474,137
"951","Alex Bowman","Pennzoil 400",8049.546,167,167,8089.284,"FOUR_WHEEL_CHANGE",11.0776,107
"952","Alex Bowman","Pennzoil 400",10020.649,217,217,10061.84,"FOUR_WHEEL_CHANGE",12.1118,57
"953","Alex Bowman","Pennzoil 400",12015.644,266,266,12050.294,"TWO_WHEEL_CHANGE_RIGHT",5.9059,8
"956","Kyle Larson","Pennzoil 400",1041.278,31,31,1083.291,"FOUR_WHEEL_CHANGE",13.2129,243
"957","Kyle Larson","Pennzoil 400",1245.103,33,33,1285.141,"OTHER",9.3757,241
"958","Kyle Larson","Pennzoil 400",2851.004,64,64,2891.176,"FOUR_WHEEL_CHANGE",11.7441,210
"959","Kyle Larson","Pennzoil 400",3762.87,82,82,3804.132,"FOUR_WHEEL_CHANGE",12.846,192
"960","Kyle Larson","Pennzoil 400",5179.71,105,105,5219.49,"FOUR_WHEEL_CHANGE",11.4113,169
"961","Kyle Larson","Pennzoil 400",6371.49,135,135,6411.069,"FOUR_WHEEL_CHANGE",11.3111,139
"962","Kyle Larson","Pennzoil 400",8044.412,167,167,8084.086,"FOUR_WHEEL_CHANGE",11.211,107
"963","Kyle Larson","Pennzoil 400",10055.081,218,218,10097.008,"FOUR_WHEEL_CHANGE",13.5468,56
"964","Kyle Larson","Pennzoil 400",12016.19,266,266,12050.211,"TWO_WHEEL_CHANGE_RIGHT",5.3385,8
"968","Ross Chastain","Pennzoil 400",1042.798,31,31,1082.905,"FOUR_WHEEL_CHANGE",11.7114,243
"969","Ross Chastain","Pennzoil 400",2850.354,64,64,2890.84,"FOUR_WHEEL_CHANGE",12.1779,210
"970","Ross Chastain","Pennzoil 400",3762.057,82,82,3802.427,"FOUR_WHEEL_CHANGE",11.6115,192
"971","Ross Chastain","Pennzoil 400",5178.533,105,105,5218.865,"FOUR_WHEEL_CHANGE",11.7783,169
"972","Ross Chastain","Pennzoil 400",6371.012,135,135,6411.162,"FOUR_WHEEL_CHANGE",11.6113,139
"973","Ross Chastain","Pennzoil 400",8043.971,167,167,8083.546,"FOUR_WHEEL_CHANGE",11.3445,107
"974","Ross Chastain","Pennzoil 400",10018.096,217,217,10057.979,"FOUR_WHEEL_CHANGE",11.0107,57
"975","Ross Chastain","Pennzoil 400",12015.383,266,266,12055.261,"FOUR_WHEEL_CHANGE",11.4115,8
"979","Kyle Busch","Pennzoil 400",1045.521,31,31,1154.413,"FOUR_WHEEL_CHANGE",79.8234,243
"980","Kyle Busch","Pennzoil 400",2054.018,44,45,2115.989,"FOUR_WHEEL_CHANGE",32.8992,230
"981","Kyle Busch","Pennzoil 400",2854.008,64,64,2893.944,"FOUR_WHEEL_CHANGE",11.3101,210
"982","Kyle Busch","Pennzoil 400",3763.641,82,82,3803.075,"FOUR_WHEEL_CHANGE",10.9106,192
"983","Kyle Busch","Pennzoil 400",6372.909,135,135,6413.01,"FOUR_WHEEL_CHANGE",11.578,139
"984","Kyle Busch","Pennzoil 400",8044.924,167,167,8083.788,"FOUR_WHEEL_CHANGE",10.5772,107
"985","Kyle Busch","Pennzoil 400",9987.761,216,217,10027.025,"FOUR_WHEEL_CHANGE",10.9106,58
"986","Kyle Busch","Pennzoil 400",12014.862,266,266,12054.572,"FOUR_WHEEL_CHANGE",11.1767,8
"990","William Byron","Pennzoil 400",1042.112,31,31,1083.252,"FOUR_WHEEL_CHANGE",12.112,243
"991","William Byron","Pennzoil 400",2849.761,64,64,2890.294,"FOUR_WHEEL_CHANGE",11.7105,210
"992","William Byron","Pennzoil 400",3761.727,82,82,3802.963,"FOUR_WHEEL_CHANGE",12.1786,192
"993","William Byron","Pennzoil 400",5178.805,105,105,5219.411,"FOUR_WHEEL_CHANGE",11.6444,169
"994","William Byron","Pennzoil 400",6372.655,135,135,6416.679,"FOUR_WHEEL_CHANGE",15.3485,139
"995","William Byron","Pennzoil 400",8044.649,167,167,8087.874,"FOUR_WHEEL_CHANGE",14.4475,107
"996","William Byron","Pennzoil 400",10025.118,217,218,10066.203,"FOUR_WHEEL_CHANGE",11.945,57
"997","William Byron","Pennzoil 400",12015.911,266,266,12050.684,"TWO_WHEEL_CHANGE_RIGHT",5.8047,8
"1001","Aric Almirola","Pennzoil 400",1049.301,31,31,1091.909,"FOUR_WHEEL_CHANGE",12.7458,243
"1002","Aric Almirola","Pennzoil 400",2852.756,64,64,2888.004,"TWO_WHEEL_CHANGE_RIGHT",6.2059,210
"1003","Aric Almirola","Pennzoil 400",3766.499,82,82,3807.287,"FOUR_WHEEL_CHANGE",12.3121,192
"1004","Aric Almirola","Pennzoil 400",4463.75,93,93,4504.929,"FOUR_WHEEL_CHANGE",12.7452,181
"1005","Aric Almirola","Pennzoil 400",5185.085,105,105,5217.407,"OTHER",3.3366,169
"1006","Aric Almirola","Pennzoil 400",6377.004,135,135,6418.916,"FOUR_WHEEL_CHANGE",12.8125,139
"1007","Aric Almirola","Pennzoil 400",8047.817,167,167,8090.629,"FOUR_WHEEL_CHANGE",14.1472,107
"1008","Aric Almirola","Pennzoil 400",9978.02,215,216,10018.453,"FOUR_WHEEL_CHANGE",11.8449,59
"1009","Aric Almirola","Pennzoil 400",12017.275,266,266,12057.702,"FOUR_WHEEL_CHANGE",11.7122,8
"1013","Tyler Reddick","Pennzoil 400",1045.095,31,31,1089.438,"FOUR_WHEEL_CHANGE",15.1148,243
"1015","Tyler Reddick","Pennzoil 400",2888.088,64,65,2943.074,"FOUR_WHEEL_CHANGE",24.9202,210
"1016","Tyler Reddick","Pennzoil 400",3766.826,82,82,3809.501,"FOUR_WHEEL_CHANGE",14.0804,192
"1017","Tyler Reddick","Pennzoil 400",5183.077,105,105,5225.373,"FOUR_WHEEL_CHANGE",13.7799,169
"1018","Tyler Reddick","Pennzoil 400",6375.214,135,135,6415.7,"FOUR_WHEEL_CHANGE",12.0785,139
"1019","Tyler Reddick","Pennzoil 400",8046.79,167,167,8087.085,"FOUR_WHEEL_CHANGE",11.6115,107
"1020","Tyler Reddick","Pennzoil 400",10026.502,217,218,10068.256,"FOUR_WHEEL_CHANGE",12.8459,57
"1021","Tyler Reddick","Pennzoil 400",12016.551,266,266,12056.483,"FOUR_WHEEL_CHANGE",11.5547,8
"1025","Martin Truex Jr.","Pennzoil 400",1041.555,31,31,1082.913,"FOUR_WHEEL_CHANGE",12.2786,243
"1026","Martin Truex Jr.","Pennzoil 400",2849.207,64,64,2890.714,"FOUR_WHEEL_CHANGE",12.9787,210
"1027","Martin Truex Jr.","Pennzoil 400",3765.823,82,82,3808.074,"FOUR_WHEEL_CHANGE",13.4132,192
"1028","Martin Truex Jr.","Pennzoil 400",5179.45,105,105,5220.404,"FOUR_WHEEL_CHANGE",12.1787,169
"1029","Martin Truex Jr.","Pennzoil 400",6372.07,135,135,6413.269,"FOUR_WHEEL_CHANGE",12.4205,139
"1030","Martin Truex Jr.","Pennzoil 400",8045.175,167,167,8085.474,"FOUR_WHEEL_CHANGE",11.8116,107
"1031","Martin Truex Jr.","Pennzoil 400",10018.665,217,217,10059.238,"FOUR_WHEEL_CHANGE",11.7448,57
"1032","Martin Truex Jr.","Pennzoil 400",12015.096,266,266,12055.538,"FOUR_WHEEL_CHANGE",11.6117,8
"1036","Chase Elliott","Pennzoil 400",1043.016,31,31,1083.918,"FOUR_WHEEL_CHANGE",11.6782,243
"1037","Chase Elliott","Pennzoil 400",2850.587,64,64,2890.915,"FOUR_WHEEL_CHANGE",11.1434,210
"1038","Chase Elliott","Pennzoil 400",3762.608,82,82,3802.054,"FOUR_WHEEL_CHANGE",10.4769,192
"1039","Chase Elliott","Pennzoil 400",5181.011,105,105,5222.21,"FOUR_WHEEL_CHANGE",11.6781,169
"1040","Chase Elliott","Pennzoil 400",6373.126,135,135,6412.688,"FOUR_WHEEL_CHANGE",10.6104,139
"1041","Chase Elliott","Pennzoil 400",8044.192,167,167,8084.393,"FOUR_WHEEL_CHANGE",11.4112,107
"1042","Chase Elliott","Pennzoil 400",10036.212,217,218,10076.414,"FOUR_WHEEL_CHANGE",10.9105,57
"1043","Chase Elliott","Pennzoil 400",12018.236,266,266,12058.283,"FOUR_WHEEL_CHANGE",11.2448,8
"1047","Christopher Bell","Pennzoil 400",1040.176,31,31,1081.708,"FOUR_WHEEL_CHANGE",12.7458,243
"1048","Christopher Bell","Pennzoil 400",2850.059,64,64,2890.549,"FOUR_WHEEL_CHANGE",11.5773,210
"1049","Christopher Bell","Pennzoil 400",3763.876,82,82,3805.998,"FOUR_WHEEL_CHANGE",13.6162,192
